Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q3,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q12,Q16
"In your classes, how important is it that your professor... - • ...knows who you are?","In your classes, how important is it that your professor... - • ...helps you feel comfortable asking questions and making comments in class?","In your classes, how important is it that your professor... - • ...believes in your ability to learn and  succeed?","In your classes, how important is it that your professor... - • ...makes you feel like part of the classroom community?","In your classes, how important is it that your professor... - • ...values you for what you bring to class through your own personal experiences, inside and outside of class?",Please complete this sentence: The most important thing(s) my professor can do to make me feel supported is...,"In your classes, how important is it that your professor... - • ...clearly explains what you are expected to learn in the class?","In your classes, how important is it that your professor... - • ...clearly explains the work to be done on all assignments/activities?","In your classes, how important is it that your professor... - • ...provides assignments/activities that are useful in helping you learn the course material?","In your classes, how important is it that your professor... - • ...provides feedback that is helpful for your learning?","In your classes, how important is it that your professor... - • ...clearly communicates and implements grading criteria?",Please complete this sentence: The most important feature(s) of a well-organized and well-structured class is...,"In your classes, how important is it that your professor... - • ...is excited about the subject and shares this excitement with the class?","In your classes, how important is it that your professor... - • ...uses in-class problem solving, and other interactive approaches?","In your classes, how important is it that your professor... - • ...creates an environment where you interact with and learn from other students?","In your classes, how important is it that your professor... - • ...makes students feel interested and engaged?","In your classes, how important is it that your professor... - • ...encourages students to think critically and question assumptions?","In your classes, how important is it that your professor... - • ...relates the course material to real-world applications?","In your classes, how important is it that your professor... - • ...encourages students to take time to reflect on their own learning?","Please complete this sentence: The most important thing(s) my professor can do to make the course exciting, engaging, and interactive for me is...",Please use the space below to add anything else that you feel is important to a healthy classroom environment and experience.
Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,,
Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,"By helping me when I ask for help and telling me n my classmates about opportunities like clubs, courses, outside classroom help aside from office hours, internships to help me and my peers advance and grow academically ",Very important,Extremely important,Extremely important,Extremely important,Very important,Being able to communicate with ur students and being able to teach with straightforward and smaller assignments to better their understanding.,Very important,Extremely important,Very important,Very important,Very important,Moderately important,Moderately important,Making the material easy to understand and easy to complete and make sure I know the basics/ introductionary material ,
Very important,Extremely important,Extremely important,Very important,Moderately important,Remembering who I am and regularly communicating effectively.,Very important,Extremely important,Very important,Very important,Extremely important,is having an organized and well thought out grading system,Moderately important,Very important,Slightly important,Slightly important,Very important,Extremely important,Very important,providing real world applications ,professors should be understanding of their students and be willing to work with them to help them succeed
Moderately important,Very important,Very important,Very important,Moderately important,,Very important,Extremely important,Extremely important,Very important,Very important,,Very important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Moderately important,,
Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,
Very important,Extremely important,Extremely important,Extremely important,Extremely important,"Actually realizing that I am a student that has other external factors that may affect my academic studies and realize that I am a hardworking student and not to generalize me as a student who is going to take advantage of them. I pride myself in being an honest student and a hardworking one, to be lumped into a category is quite honestly disrespectful. ",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"Going over homework and the homework questions before class actually starting. This is to help answer any homework questions that we may have and instead of asking the professor individually. I know a lot of other students may be a bit timid or shy to ask questions and sometimes for those who aren’t, they’re also able to benefit from it as well. In addition, I believe that it may also make them feel more comfortable in asking questions once they’re familiarized or feeling more comfortable in a safe environment to do so.",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"Actually having an engaging conversation with the students. Having students participate and making it fun. We are here to learn, instead of having information thrown at us, then for us to make sense of it on our own.",Having students work in groups and to rotate those groups to also get more comfortable with “networking” and socializing. 
Moderately important,Extremely important,Extremely important,Very important,Extremely important,Allow students to work with each other.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,"I feel that the survey accurately understands what makes a good professor. However, I feel that many of these great attributes are not found in classes because students don't feel safe sharing a wrong answer. This is something that almost every student experiences. I am not sure exactly what the solution is, however, I do believe that a friendly and social professor makes all the difference."
Slightly important,Moderately important,Extremely important,Moderately important,Moderately important,Understand some of us have a lot of responsibilities outside of class and have very limited time ,Moderately important,Very important,Very important,Very important,Very important,Devoting enough time to let us understand what is being taught ,Moderately important,Very important,Not at all important,Moderately important,Very important,Extremely important,Slightly important,I have extreme social anxiety and don't want to have to interact by speaking up in front of everyone. Provide ways to interact anonymously ,Some professors require and insist on verbal interaction in front of everyone. With my social anxiety this prevents me from focusing on the lesson and I have to focus on not breaking down in tears
Very important,Extremely important,Extremely important,Very important,Very important,The most important thing my professor can do to make me feel supported is to allow me to ask questions in class as well as to provide office hours for me to go ask for additional help.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,The most important features of a well-organized and well-structured class is for professors to explicitly explain all concepts in the course as well as what we are expected to do in our classes in the future.,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,The most important things in this case are to be well-organized and to make sure that everything in class is followed properly.,Professors should know how to teach better to students who lack interest in any subjects as well as to provide office hours for students who are in need in terms of needing help and guidance of their lectures and other activity-based assignments.
Moderately important,Extremely important,Extremely important,Extremely important,Moderately important,"By being interactive, making sure that when the class is lost that they make an effort to explain it a little more so the whole class is on track. ",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Very important,Very important,Extremely important,Very important,Very important,Very important,Very important,,
Moderately important,Very important,Extremely important,,Moderately important,"knowing peers, and what works for them",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"a well paced class, structured assignments, consistency ",Very important,Extremely important,Moderately important,Very important,Extremely important,Extremely important,Very important,"if hey show enthusiasm in what they teach, it is contagious and peaks interest in learning the subject ","a healthy classroom, is one that has many students actively engaged in the problems, using their assumption skills to try to solve the problems, and one where you are not afraid to ask questions"
Moderately important,Very important,Very important,Very important,Moderately important,,Very important,Extremely important,Extremely important,Very important,Moderately important,,Moderately important,Very important,Slightly important,Very important,Moderately important,Extremely important,Moderately important,sharing real-world examples,
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,
Very important,Extremely important,Very important,Very important,Very important,is to demonstrate genuine interest in my learning journey and well-being,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"Consistent schedule and pacing, flexibility and adaptability, and clear instructions and expectations",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,to show how the things learn in class is related to the real world. ,
Moderately important,Extremely important,Extremely important,Very important,Very important,asking the class to see if anyone has a question on a certain topic. ,Extremely important,Very important,Very important,Extremely important,Extremely important,"providing a well-explained lecture presentation, involving small group work, and asking students to solve a problem..",Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,Extremely important,participate in the class for our well-being. ,Socializing
Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,acknowledging academic improvement and encouraging participation in class.,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"correlating assignments of the week to the lecture notes, giving proper deadlines for these assignments to prevent students from falling behind on course work.",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,"relating the course work to real world experiences, encourage participation in the classroom and share excitement about the topic. ",
